"","esti","true","sd","cancertype"
"1",0.242761118177672,0.275910005126789,0.0148514319438225,"Breast cancer"
"2",0.00248949700302518,0.000285917103758331,0.0148136186004897,"Breast cancer"
"3",0.379931763607778,0.36826122964073,0.0160276718651659,"Breast cancer"
"4",0.427216228332906,0.431448909571322,0.014342789135449,"Breast cancer"
"5",0.554432325028795,0.548960839215996,0.0157315725660022,"Breast cancer"
"6",1.20086306852074,1.17569113065426,0.0230231120431349,"CNS cancer"
"7",1.37587010639472,1.3675415072761,0.0265566514742975,"CNS cancer"
"8",1.03793773667211,1.04588476554797,0.0207732996802934,"CNS cancer"
"9",2.13070032340127,2.03658753007059,0.0410300362072884,"CNS cancer"
"10",2.46319098204944,2.46946602516071,0.0406330421867541,"CNS cancer"
"11",1.14875318845406,1.18941515163466,0.0215734256440623,"CNS cancer"
"12",1.40197285285817,1.41071498994361,0.0256516430249372,"Colon cancer"
"13",0.21618409351591,0.24331545529834,0.016564084735985,"Colon cancer"
"14",1.63586324775815,1.62086406120598,0.0315373589061837,"Colon cancer"
"15",0.221286590198864,0.235023859289348,0.0164027125379275,"Colon cancer"
"16",1.52447001132858,1.58941317979256,0.0349908784040173,"Colon cancer"
"17",0.372835309950429,0.353393540245297,0.0176427918811881,"Colon cancer"
"18",0.633480599270361,0.61329218756162,0.0173316635311919,"Colon cancer"
"19",0.167266181639439,0.155538904444532,0.0170300826315981,"Leukemia"
"20",0.667537630630534,0.674764364869661,0.0179908930777696,"Leukemia"
"21",0.793159232203882,0.800853807627085,0.0190071828990636,"Leukemia"
"22",1.61165838195733,1.59713294159404,0.0318790977141682,"Leukemia"
"23",0.49166492487113,0.476909729068896,0.0139750283405255,"Leukemia"
"24",0.126652475858741,0.101786488937966,0.0169350453492197,"Leukemia"
"25",0.824885506054711,0.851747052096068,0.0199158091713371,"Melanoma"
"26",0.544249959103936,0.546959419489687,0.0173906183179105,"Melanoma"
"27",0.73025751233276,0.690775722680128,0.026347389289735,"Melanoma"
"28",0.929991607540295,0.944956027921284,0.0204531853055774,"Melanoma"
"29",2.68496678344648,2.67103758331033,0.0401560664176564,"Melanoma"
"30",0.63813280726251,0.65103324525772,0.0186300130320657,"Melanoma"
"31",0.00787197543587958,0.000285917103758331,0.0145445330632241,"Melanoma"
"32",1.06177251824206,1.07276097330126,0.0218637963803034,"Melanoma"
"33",1.98404377679104,2.01657333280751,0.0556306002498662,"Melanoma"
"34",0.688078349592374,0.704213826556769,0.0303939695082506,"Breast cancer"
"35",1.8488783852263,1.86074851125922,0.0321223231954077,"Lung cancer"
"36",1.23689428391717,1.27604803407343,0.0239803339817786,"Lung cancer"
"37",1.25711966362175,1.23859289348109,0.0246227688795922,"Lung cancer"
"38",0.00391677517837555,0.000285917103758331,0.0133604309600237,"Lung cancer"
"39",2.48280817210509,2.44830815948259,0.04348768367586,"Lung cancer"
"40",1.77430454975299,1.77525929723548,0.0269597495501376,"Lung cancer"
"41",0.619882981895806,0.600425917892495,0.0160204643662067,"Lung cancer"
"42",0.30972273265737,0.318797570690539,0.0153847563769809,"Lung cancer"
"43",1.19482422770779,1.2371633079623,0.0215158773965408,"Lung cancer"
"44",1.11901479132477,1.09420475608313,0.024607116959142,"Ovarian cancer"
"45",1.77724212954474,1.78526639586702,0.0306075004775203,"Ovarian cancer"
"46",1.56860269636094,1.54909886816264,0.0253601804862116,"Ovarian cancer"
"47",0.0202394128857401,0.000285917103758331,0.0139984563893454,"Ovarian cancer"
"48",1.25497825897919,1.21257443703908,0.0371936469875783,"Ovarian cancer"
"49",2.12068466381781,2.12007532436802,0.0369225625025896,"Ovarian cancer"
"50",1.31566227542026,1.30721299838309,0.0305063007881137,"Ovarian cancer"
"51",0.459695894404389,0.478911148795205,0.0154389813703153,"Prostate cancer"
"52",0.570597136589307,0.582984974563237,0.0172016194721178,"Prostate cancer"
"53",0.617770507093574,0.588989233742162,0.017950523682369,"Renal cancer"
"54",1.25722160235395,1.29291714319517,0.0228102536736822,"Renal cancer"
"55",0.819597929028322,0.841454036360768,0.016825110572461,"Renal cancer"
"56",1.48876857234753,1.50249438025003,0.0260189575988766,"Renal cancer"
"57",1.41371323913958,1.38326694798281,0.0258071032904306,"Renal cancer"
"58",0.574658419566357,0.571834207516662,0.0163153034674587,"Renal cancer"
"59",1.02619637952106,1,0.0199132742168212,"Renal cancer"
"60",1.0057883522167,1,0.0215191306262738,"Renal cancer"
